Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Label
-492.96625,-48.527378,13.013535,27.293934,-17.69056,19.727428,-11.372081,11.950583,11.773546,14.589928,-1.3656182,9.2987795,21.487978,0.0
-414.84924,-99.546555,36.38012,13.75871,-16.055054,24.838245,-13.986772,10.100433,3.230617,11.216504,-7.4951696,10.251167,16.80558,0.0
-391.8991,-129.6576,54.459045,0.1841476,-8.019057,24.388199,-7.3791237,11.088413,-0.7803457,9.386276,-9.921635,6.3493023,15.061261,0.0
-375.85626,-125.508026,66.188614,-18.119587,-10.339739,6.6176996,-9.898998,10.601729,-2.8525054,11.692514,-4.1022096,11.240379,20.71273,0.0
-339.07974,-109.591576,60.254562,-20.064217,-10.664508,-13.751682,-9.26646,-0.85587054,-18.793255,-2.3217993,-3.238701,9.258186,14.238082,0.0
-306.22726,-104.219315,42.63185,-20.929401,-2.4389403,-14.594175,-0.7349415,1.7408553,-20.61867,-3.3176079,-6.4885783,0.3276447,6.831621,0.0
-304.62723,-97.96122,37.861725,-39.890686,1.9933759,-10.888651,1.3209525,2.117923,-18.66116,-3.2745147,-10.059219,1.2909825,6.252329,0.0
-300.39337,-91.03877,38.902523,-53.663162,3.4858656,-9.053617,-9.345168,-2.169752,-14.609527,-8.346153,-13.602202,2.7278929,1.5593324,0.0
-296.48544,-82.87933,35.048847,-51.878265,5.8256464,-14.58081,-6.559954,1.9446706,-11.2385845,-10.542324,-19.17326,2.120799,4.8739085,0.0
-290.43823,-73.475296,34.139988,-50.21946,6.287387,-15.663914,-7.3413095,-2.116001,-21.112234,-11.039885,-19.74238,-1.1516191,10.445155,0.0
-295.587,-69.18144,43.313232,-47.66539,5.3020062,-15.729552,-7.3086996,-7.6163235,-22.37368,-8.659935,-15.860764,0.47924122,10.925997,0.0
-297.6653,-62.680134,66.55347,-25.096256,13.385517,-11.223545,-7.5023956,-7.303889,-19.677902,-11.759811,-23.380192,-10.976393,-4.3915844,0.0
-238.77533,-23.805634,55.52415,-10.953493,9.385564,-14.816744,-23.086857,-18.658127,-19.729502,-7.5915747,-26.677189,-14.38841,-1.8386203,0.0
-177.89313,19.148224,-16.620113,6.100253,-0.3172856,-26.989029,-29.142937,-29.71741,-15.202515,-4.426874,-33.99684,-5.5112376,2.7649717,0.0
