Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Label
-479.28952,-43.585716,20.706905,15.87513,-13.950785,16.00907,-20.398804,2.7267652,2.4540515,4.6251802,-14.354524,10.417288,18.151415,0.0
-387.60483,-82.84611,40.37799,0.33661076,-17.440784,12.934298,-16.861317,0.796911,-3.9091034,0.61528563,-13.694207,8.875391,21.07182,0.0
-372.43915,-109.2298,53.94792,-11.803263,-18.891544,7.8911986,-13.054777,3.2015817,-7.110938,-1.5464268,-12.922417,8.273727,19.400715,0.0
-387.4451,-126.737625,61.325485,-19.410192,-2.3165812,8.288644,-5.1502666,11.404598,0.30928063,2.941958,-5.9432273,7.6278086,15.276072,0.0
-374.24118,-134.17891,56.335526,-20.30389,7.633833,6.521662,4.2782917,13.7559185,-0.14059782,6.2487836,-0.026765078,7.7377133,14.663452,0.0
-360.08374,-124.48155,50.143078,-25.044535,17.317465,2.7991734,10.334429,9.444526,-5.1280346,3.6359668,0.8811534,9.57678,12.04001,0.0
-360.66873,-118.849304,47.396557,-25.59311,19.747984,-1.6454618,8.060799,8.629758,-0.5446969,2.4494936,-2.9919162,7.7091866,9.837229,0.0
-350.92642,-114.68707,42.29161,-30.375607,16.243776,-5.883485,6.7341604,11.361963,2.330988,1.4312015,-2.6890507,4.8165646,8.37722,0.0
-348.59888,-114.781334,39.93753,-34.324856,13.8347845,-5.1338058,5.4706945,9.384,3.0198107,4.085229,-3.8918834,8.74103,12.6608925,0.0
-348.59824,-117.3883,38.4419,-32.232338,13.182148,-4.9779377,7.023095,7.6062856,5.9285817,10.246479,-0.043021023,9.846779,12.017857,0.0
-352.38638,-122.3861,33.88483,-28.876799,17.994188,-2.3461747,7.4448314,4.6518297,0.9796265,6.7620144,-0.5620919,7.7340517,8.2704525,0.0
-366.55692,-126.64365,33.43019,-27.120556,19.345428,-0.7179502,8.803588,4.7286754,-1.5996952,5.1474385,-2.5859683,5.984881,8.994118,0.0
-363.21042,-112.69884,46.734573,-20.340855,22.777338,0.12356323,9.840508,5.8281755,-2.9139543,0.9192796,-7.2301593,4.498164,5.1566534,0.0
-275.00598,-53.697296,62.86122,-9.014482,24.89929,-12.952448,-13.40259,-11.178911,-14.655614,-10.321181,-28.66293,-13.53737,-0.9760647,0.0
-182.63437,-18.523647,2.2739758,10.477093,18.525648,-33.1384,-15.874894,-23.551424,-20.758232,-3.6898072,-36.96768,-8.462666,5.5307465,0.0
-156.12115,15.34952,-53.028553,26.141718,-3.2134643,-43.070522,-17.187424,-28.301353,-23.35558,4.2598825,-46.01686,0.18229365,8.801088,0.0
-157.8216,2.0503957,-61.19211,30.532297,-15.106718,-58.97101,-14.040499,-29.383137,-13.518098,8.088724,-38.584015,17.974728,12.181269,0.0
-168.97264,0.2597296,-64.305176,36.587234,-25.527586,-69.64217,-5.7518187,-25.105576,-5.2804356,6.62576,-32.10038,27.171192,6.077793,0.0
-187.4219,0.8677894,-75.50772,43.62007,-26.37135,-69.56817,-1.379827,-25.657646,-1.8838952,2.5268483,-27.975029,25.885963,-3.1176732,0.0
-196.93373,-1.5747575,-79.71927,52.569435,-24.79176,-71.34159,-0.47882193,-29.155739,-7.259136,-1.4645158,-23.476116,27.38958,-5.822931,0.0
-208.1224,-6.047816,-76.05869,60.96531,-21.847229,-73.50094,6.3227715,-28.120924,-7.379224,-2.8963206,-19.169933,27.758108,-4.5999947,0.0
-231.7548,-21.22696,-73.10924,70.23575,-13.750305,-75.68742,12.514208,-27.241474,-8.181907,-3.7866735,-14.632618,27.294193,-4.4182506,0.0
-250.84093,-24.627054,-59.616024,84.26543,-7.869032,-71.83693,17.642227,-27.204433,-11.423555,-5.464507,-12.688351,22.766644,-6.13925,0.0
-261.79105,-30.159208,-48.626266,89.07864,-5.501355,-77.36016,22.420984,-27.520824,-16.910225,-4.253409,-8.181821,22.366354,-7.486655,0.0
-260.39044,-32.26719,-44.84874,91.92612,0.16176668,-74.75453,27.644073,-31.75916,-20.91523,-6.9098735,-14.069862,20.881031,-3.1590238,0.0
-272.58392,-40.943386,-40.59889,95.65396,6.317637,-69.96883,31.49744,-34.501156,-23.687977,-8.035762,-18.734129,21.173578,-2.7683024,0.0
-291.70108,-48.06328,-36.77513,94.51519,7.493412,-67.6357,37.2772,-32.980354,-21.46159,-5.359453,-21.194801,17.738312,-7.062881,0.0
-290.2121,-39.51056,-32.95827,97.1367,11.314743,-69.63556,32.54872,-36.272736,-23.061852,-13.168351,-30.434286,11.242996,-10.008247,0.0
-277.23785,-34.44333,-36.80062,92.99311,11.013327,-69.51995,23.986006,-30.431034,-14.774696,-11.845367,-27.741184,3.6548805,-12.003681,0.0
-271.13464,-31.251656,-30.298105,87.71427,2.0102966,-65.35051,8.691364,-27.909645,-10.494062,-16.360888,-22.148888,-0.30744755,-8.30607,0.0
-256.0101,-22.874142,-29.161913,79.08124,-6.8835626,-58.16252,-12.085415,-26.9001,-1.4934416,-19.142347,-18.390972,-1.0764236,-7.602174,0.0
-254.31252,2.896956,-31.63976,63.635017,-13.580835,-40.846924,-20.369698,-32.028214,0.51457083,-18.777105,-14.141141,-0.20188999,-3.5163546,0.0
-306.69376,45.36699,-32.387203,46.326344,-18.96891,-18.371807,-19.74945,-35.23037,0.533282,-15.707239,-6.2555175,-2.9017873,-6.5611334,0.0
-436.24356,61.16401,-5.3540087,30.291706,-12.20702,5.1515055,-9.743392,-20.735085,-4.577447,-11.54784,4.3264346,-2.741122,-10.363464,0.0
-440.00552,60.957085,10.398131,28.88103,-10.935591,8.945523,-6.132193,-19.293053,-3.4963112,-13.068072,-10.963395,-15.303654,-10.723825,0.0
-283.37598,71.360466,-36.60463,10.525741,-35.71086,0.6544499,-16.627943,-24.256384,-21.15672,-11.49605,-14.705077,-7.151109,-23.999504,0.0
-217.0197,54.969933,-53.867016,0.9471369,-47.749886,-2.4694984,-16.701244,-22.338865,-33.38852,-2.3498225,-14.839138,-1.0896448,-20.641066,0.0
-214.59215,26.112469,-47.736862,1.6767297,-52.753128,0.01560384,-13.000278,-20.38274,-42.285667,2.2208862,-10.365501,9.254755,-12.161242,0.0
-240.10101,11.500856,-30.46125,-1.0716875,-65.90761,-0.5361848,-2.2692957,-5.0344706,-48.10387,-9.294054,-16.760902,15.595987,-4.096718,0.0
-273.98615,26.278908,-2.1803784,-6.1250935,-86.53288,-5.003653,-1.1470386,13.229534,-41.71017,-10.425083,-26.876766,0.038891554,-10.747719,0.0
-307.83865,51.16942,7.3675776,13.793493,-83.61488,-21.91395,-14.5620365,6.6721663,-37.223625,1.7056167,-31.176743,-12.174591,-13.543694,0.0
-362.71664,85.83269,10.715338,27.848026,-74.29573,-27.77599,-12.133942,-16.03487,-31.092907,10.673286,-20.176804,-16.085144,-10.984413,0.0
-410.42148,107.72542,-12.090193,25.991476,-40.485985,-18.784866,2.288369,-28.154417,-16.475994,8.933424,-18.108088,-16.98272,-4.4992533,0.0
-417.75775,106.84602,-26.483625,20.816006,-16.817204,-5.8149137,0.32897943,-21.100267,-16.487764,-2.206473,-23.881378,-13.2957,-2.1745634,0.0
-397.19077,109.00659,-25.746666,14.592281,-9.760115,1.5263126,-4.5827208,-20.605396,-20.434685,-8.115484,-28.137663,-6.9856386,4.585575,0.0
-371.26404,97.304756,-2.3372262,-0.008915171,-22.445625,0.64436644,-7.501397,-20.50314,-24.11742,0.8124431,-35.283283,-1.0024993,6.76052,0.0
-331.88843,90.98873,25.04274,-12.502525,-46.60479,-9.580297,-14.239362,-20.7678,-19.757008,13.091484,-41.171318,-1.1477542,-4.156395,0.0
-289.35852,96.02597,36.429886,-27.416248,-65.98187,-9.786846,-17.444458,-13.886465,-5.5674334,9.1672325,-55.646706,-6.3553624,-2.3553586,0.0
-270.57208,81.69899,32.505962,-36.30176,-74.60385,0.17110232,-20.877644,-13.4470005,3.272694,12.523357,-60.402107,-8.591563,-3.016572,0.0
-288.52847,59.796913,26.218597,-41.198044,-67.910324,16.517551,-14.880327,-21.161652,0.56707865,16.090519,-64.15248,-7.8367696,-3.0474904,0.0
-308.90582,57.10879,28.408808,-42.31177,-67.70173,25.585768,-6.070027,-30.62156,-9.190865,15.84787,-64.14523,4.979308,-5.873597,0.0
-313.76822,65.424324,28.798756,-41.1009,-67.21571,33.413322,-1.3501306,-33.277534,-21.963665,10.12508,-51.42681,21.554531,-8.832661,0.0
-314.13666,75.0291,20.852074,-45.260033,-69.75238,40.100876,2.7716808,-33.888275,-26.424637,8.979904,-47.819145,32.86237,-10.037771,0.0
-317.8871,67.753494,18.517778,-53.077675,-68.29551,39.758354,5.202696,-38.936775,-29.441013,7.8108683,-46.071247,40.474525,-6.2139153,0.0
-328.4034,65.72583,29.039852,-50.1915,-65.53505,43.604996,12.556068,-38.508774,-33.68283,5.717415,-44.29412,47.179073,-8.676006,0.0
-338.64957,66.45567,29.268963,-45.955032,-61.422104,42.5699,18.567791,-38.121483,-37.750916,4.077018,-43.35623,55.14388,-12.518797,0.0
-336.97958,68.73604,21.156446,-46.84449,-58.637306,44.965416,21.795849,-41.871086,-36.779335,7.59776,-43.05123,60.801125,-12.4758,0.0
-329.23578,68.15085,12.415365,-41.767807,-52.310753,48.721428,20.093527,-53.819294,-33.355736,13.376562,-43.71528,63.40261,-19.66185,0.0
-322.97592,64.80946,-0.21083665,-31.229946,-44.193386,51.07421,18.055826,-72.371704,-34.6277,21.299477,-45.61348,59.212135,-30.713652,0.0
-309.4911,61.282566,-29.153763,-14.938243,-23.32018,49.821312,17.990307,-89.20218,-27.16446,34.984913,-51.756424,39.524834,-32.756504,0.0
-287.37943,87.82172,-41.584156,3.666431,-2.5116453,27.045029,15.772437,-88.027664,-18.78248,32.730347,-67.41857,2.9652815,-35.882988,0.0
-310.2915,122.831085,-39.540543,14.37163,10.610478,9.274439,12.8572235,-71.910675,-15.539921,24.309977,-68.328156,-19.15619,-29.65483,0.0
-360.2425,100.70239,-1.4324751,33.440777,2.0805416,26.99662,-11.362125,-36.220783,-9.982363,8.850292,-37.166466,-37.75422,-11.4086275,0.0
-366.21786,32.839027,28.538364,67.545944,-16.714718,12.062589,-2.3784268,-9.008701,-1.1513069,-3.0031376,-24.49483,-13.507595,5.5693107,0.0
-392.77042,27.063828,24.83929,63.47655,-13.776756,8.764885,-0.25854146,-7.7235723,0.9256472,-5.5410843,-18.91158,-13.520428,-2.1414099,0.0
-488.9765,64.06668,16.422527,52.263874,13.617668,1.36348,12.817239,-10.119606,5.487395,-4.530291,-13.847079,-16.159836,-8.805452,0.0
-590.0032,53.19235,23.517937,31.740082,25.033642,15.652567,11.512753,0.2926517,2.1545372,4.857431,-4.0071745,-4.901723,-3.193551,0.0
-619.83234,31.791393,16.074785,17.559492,21.720917,19.503452,16.552761,11.646433,5.57987,5.396885,7.1903334,2.0494523,-2.7446253,0.0
-627.07935,26.805614,18.088417,19.302246,21.30131,17.406075,14.186024,13.649249,11.17267,8.206781,6.807555,4.283948,0.9771112,0.0
-633.87714,20.853607,15.722973,14.61503,15.015851,14.247133,13.167,12.764273,11.189135,7.9612255,6.0201387,5.6113358,4.239189,0.0
-635.2805,17.944948,11.950941,9.629058,11.193711,12.813694,12.613031,10.397128,8.92021,7.972306,6.3813505,7.0490856,7.3021755,0.0
